asset_id,file,width,height,area,mode,style_family_hint,usage_hint,caution
RYO26-015,images/image114.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-016,images/image115.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-017,images/image116.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-018,images/image117.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-019,images/image118.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-020,images/image119.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-021,images/image120.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-022,images/image121.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-023,images/image122.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-024,images/image123.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-025,images/image124.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-026,images/image125.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-027,images/image126.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-028,images/image127.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-029,images/image128.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-030,images/image129.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-031,images/image130.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-032,images/image131.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-033,images/image132.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-034,images/image133.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-035,images/image134.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-036,images/image135.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-037,images/image136.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-038,images/image137.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-039,images/image138.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-040,images/image139.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-041,images/image140.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-042,images/image141.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-043,images/image142.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-044,images/image143.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-045,images/image144.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-046,images/image145.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-047,images/image146.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-048,images/image147.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-049,images/image148.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-050,images/image149.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-051,images/image150.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-052,images/image151.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-053,images/image152.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-054,images/image153.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-055,images/image154.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-056,images/image155.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-057,images/image156.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-058,images/image157.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-059,images/image158.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-060,images/image159.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-061,images/image160.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-062,images/image161.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-063,images/image162.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-064,images/image163.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-065,images/image164.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-066,images/image165.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-067,images/image166.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-068,images/image167.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-069,images/image168.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-070,images/image169.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-071,images/image170.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-072,images/image171.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-073,images/image173.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-074,images/image174.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-075,images/image179.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-076,images/image180.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-077,images/image181.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-078,images/image184.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-079,images/image185.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-080,images/image186.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-081,images/image187.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-082,images/image188.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-083,images/image189.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-084,images/image190.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-085,images/image197.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-086,images/image23.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-087,images/image24.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-088,images/image25.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-089,images/image26.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-090,images/image27.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-091,images/image28.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-092,images/image29.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-093,images/image30.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-094,images/image31.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-095,images/image32.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-096,images/image33.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-097,images/image34.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-098,images/image35.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-099,images/image36.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-100,images/image37.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-101,images/image38.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-102,images/image39.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-103,images/image40.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-104,images/image41.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-105,images/image42.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-106,images/image43.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-107,images/image44.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-108,images/image45.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-109,images/image46.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-110,images/image47.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-111,images/image48.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-112,images/image49.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-113,images/image50.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-114,images/image51.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-115,images/image52.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-116,images/image53.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-117,images/image54.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-118,images/image55.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-119,images/image56.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-120,images/image57.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-121,images/image58.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-122,images/image59.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-123,images/image60.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-124,images/image61.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-125,images/image62.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-126,images/image63.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-127,images/image64.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-128,images/image65.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-129,images/image66.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-130,images/image67.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-131,images/image70.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-132,images/image71.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-133,images/image72.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-134,images/image74.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-135,images/image75.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-136,images/image76.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-137,images/image77.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-138,images/image78.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-139,images/image79.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-140,images/image80.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-141,images/image81.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-142,images/image84.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-143,images/image85.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-144,images/image86.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-145,images/image87.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-146,images/image88.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-147,images/image89.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-148,images/image90.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-149,images/image91.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-150,images/image92.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-151,images/image93.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-152,images/image94.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-153,images/image95.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-154,images/image96.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-155,images/image97.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-156,images/image98.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-157,images/image99.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-158,images/image68.png,57,56,3192,RGBA,small pictogram/icon,"Compact icon or symbol. Use in bullet clusters, process steps, or small labels.",Too small for hero visuals; keep within one icon family per slide.
RYO26-159,images/image69.png,57,56,3192,RGBA,small pictogram/icon,"Compact icon or symbol. Use in bullet clusters, process steps, or small labels.",Too small for hero visuals; keep within one icon family per slide.
RYO26-160,images/image73.png,56,57,3192,RGBA,small pictogram/icon,"Compact icon or symbol. Use in bullet clusters, process steps, or small labels.",Too small for hero visuals; keep within one icon family per slide.
