asset_id,file,asset_name,semantic_category,subject_keywords,visual_style,best_use,caution,width_px,height_px,aspect_ratio_decimal,aspect_ratio_simple,orientation,has_alpha,transparent_pixel_ratio,ppt_crop_behavior,layout_slot_hint,native_editability,scale_caution
RYO26-011,images/image110.png,paperclip,attachment,"attachment, document, upload","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-012,images/image111.png,envelope with document,mail-document,"email, notification, document sending","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-013,images/image112.png,smartphone,mobile,"mobile use, field input","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-014,images/image113.png,desk phone,phone-contact,"phone, contact, support","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-015,images/image114.png,rising chart monitor,growth-dashboard,"growth, report, dashboard","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-016,images/image115.png,calendar,schedule,"schedule, date, plan","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-017,images/image116.png,hourglass,time-limit,"waiting, processing time, deadline","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-018,images/image117.png,laptop,laptop-work,"remote work, system operation","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-019,images/image118.png,document page,document,"document, material, form","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-020,images/image119.png,bar chart,bar-chart,"data, statistics, comparison","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-021,images/image120.png,binders,files,"file archive, document management","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-022,images/image121.png,clock,time,"time, progress, deadline","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-023,images/image122.png,fingerprint authentication,authentication,"identity verification, login, approval","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-024,images/image123.png,ID badge,id-card,"identity, member, permissions","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-025,images/image124.png,printer,printer,"print, output, paper process","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-026,images/image125.png,open folder,folder,"folder, archive, project files","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-027,images/image126.png,clipboard,checklist,"task, check, form","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-028,images/image127.png,calculator,calculator,"budget, quote, calculation","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-029,images/image128.png,falling chart monitor,decline-risk,"decline, risk, loss","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-030,images/image129.png,cash stack,cash,"cost, revenue, payment","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-031,images/image130.png,diamond,value-premium,"value, premium, highlight","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-032,images/image131.png,money tree,finance-growth,"revenue growth, ROI","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-033,images/image132.png,wallet,wallet,"cost, payment, budget","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-034,images/image133.png,piggy bank,savings,"cost saving, savings","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-035,images/image134.png,mail envelope,email,"email, message, notification","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-036,images/image135.png,gold bars,asset-value,"asset, value, inventory","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.250,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-037,images/image136.png,bank building,bank,"financial institution, settlement","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.250,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-038,images/image137.png,payment card,payment-card,"payment, settlement, cost","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-039,images/image138.png,coin stack,coins,"cost, amount, revenue","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-040,images/image139.png,money bag,money-bag,"budget, revenue, funds","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.250,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-041,images/image140.png,pickaxe and shovel,construction-work,"engineering, construction, field work","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-042,images/image141.png,excavator,excavator,"construction, heavy equipment","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-043,images/image142.png,atom,science-tech,"research, technology, innovation","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-044,images/image143.png,battery,battery,"power, energy, status","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-045,images/image144.png,field worker avatar,field-worker,"field staff, work role",flat field-worker / industry role illustration,"Use for role/persona, pain-point, before-after work scene, customer support, or industry stakeholder pages.",Dated/mixed illustration style; do not mix with unrelated character families on one slide.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-046,images/image145.png,power plug,power,"electric power, connection, device","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-047,images/image146.png,light bulb,idea,"idea, improvement, innovation","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-048,images/image147.png,lab flask,experiment,"experiment, test, R&D","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-049,images/image148.png,wall outlet,electric-outlet,"power, device connection","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-050,images/image149.png,cement truck,construction-truck,"logistics, construction, transport","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-051,images/image150.png,oil pumpjack,oil-energy,"energy, equipment, industry","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-052,images/image151.png,factory,factory,"manufacturing, production, factory","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-053,images/image152.png,fuel pump,fuel,"fuel, supply, equipment","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-054,images/image153.png,green truck,logistics,"transport, delivery, logistics","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-055,images/image154.png,energy-saving bulb,energy-saving,"energy saving, improvement, sustainability","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-056,images/image155.png,wind turbine,renewable-energy,"renewable energy, sustainability","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.249,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-057,images/image156.png,power transmission tower,power-grid,"infrastructure, power grid","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.250,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-058,images/image157.png,money briefcase,business-money,"business, investment, procurement","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
